Survey_feedback,sentiment_label,Very Poisitve,Poisitve But Critical,Neutral,Negative,Very Negative
"Because of the quality of the hotel, we were very surprised that continental breakfast wasn't included.",Positive,,,,,
Breakfast could be better since you pay 12.50 a person. The eggs weren't done or something wrong with them.,Positive,,,,,
"Nice hotel, friendly front desk staff",Positive,,,,,
"Lousy mattress, poor & inconsistent housekeeping; woodwork & doors beaten up, toilet clogged, bathroom floor tile disgusting, breakfast service poor but good omelette, despite request originally placed across from elevators; ended up across from brick wall, a/c vents filthy which is why a/c was inadequate, 1 business desk computer was known to not connect to server, front desk staff very pleasant. NOT the Hyatt experience I've had elsewhere. Never again. Back to the Hilton.",Negative,,,,,
"The parking gates were not working.  We were charged the parking fee but when we came back at night the lot was full. We were directed to an overflow lot which was free to the public.  I spoke with someone at the front desk at check out and the fee was refunded.  But since the gates were left open and there is no method to keep track of the vehicles, the parking fee should not have been added from the start.  Just a suggestion to avoid complaints in the future.",Negative,,,,,
Very noisy lobby.  Little control over loud people at 2AM!,Negative,,,,,
"I didnt like that I have to pay for parking. Breakfast was not included. And when I was looking for the hotel at night I noticed it had poor lighting, I couldnâ€™t find the hotel.",Positive,,,,,
Our exterior room had a lot of outside noise.,Neutral,,,,,
"Zhanna at the front desk was not too friendly at check in, but was super nice at check out and when we went to ask for dinner recommendations. The hotel was mostly nice but could use some updates. The wood features in the room were worn and could potentially leave splinters if not careful. The hot water in the wet bar area didn't work though I let the water run for a while to make sure.",Positive,,,,,
Stayed for our 30th wedding anniversary and Mike and staff we awesome even wished us a happy anniversary.,Positive,,,,,
"Think that having to pay a parking fee while a paying guest is a bit ridiculous, especially since there are not other options for parking. The gates and tickets were very tedious and clumsy.  The breakfast/parking promotion is silly.",Negative,,,,,
"Checked into our room, there was no toilet paper. No problem, we asked the worker who delivered our food to get us some. 20 minutes passed, no toilet paper. Called the front desk to get some and they asked how many we wanted. I understand you are trying to be polite but just bring us some. We only were staying for a night. When we checked in, we were given a breakfast menu. We walked into our room and there was another menu for breakfast but it differed completely from the first. There was no date on either of the menus so we didn't know exactly which one to order from. That was confusing. The roof was leaking in the lobby all over the place. The bed we had was VERY squeaky. If you even rolled over, the bed would make noise. The fan/AC system in the room was VERY annoying. It was very loud and went off every 5 - 10 minutes no matter the temperature in the room. It was right next to the bed as well so it was very loud. The layout of the room could have been better. The tv was extremely far from the Overall, I was looking for a hotel that really blew me away with design, looks, staff, and a welcoming feeling but I didn't feel any of that. It was just a normal 2-3 star hotel. Not the 4 star it claims to be.",Positive,,,,,
"I am typically very conservative with my ratings, to earn a 10 requires things to be better than expected by a non-trivial margin. I have stayed at the Green Bay Hyatt many times in the past 18 months and the staff truly goes above and beyond on a weekly basis, which is why I gave all tens. Please keep up the great work. There are too many great employees to name them all, but Iâ€™d like to specially thank Heather, Noely, Matthew, Jenna, and Scott.",Positive,,,,,
Room was not made until we called at 3pm not pleased,Positive,,,,,
"Clean, beautiful and friendly.  We had a wonderful stay and will definitely be back!!",Positive,,,,,
A very pleasant stay.  Staff was excellent in all regards.   Breakfast was great.  Complimentary coffee in the lobby area would be a  nice touch.,Positive,,,,,
The only thing odd was there was something going on with the guests. A lot of them staying here weâ€™re leaving there doors open and visiting and drinking with each other.  It got a little loud.  That had never happened in previous stays.,Neutral,,,,,
What a great hotel ! Outstanding staff and beautiful facility,Positive,,,,,
"Check-in woman asked if we wanted the check-in ""special"" for $25 to include brunch for 2, free 1 one parking and $5 credit in the Market.  It wasn't done and the check-out person said she couldn't accommodate it.  Hum?  Interesting.  Also, one of the 2 front desk people also sid she would apply the night stay to my World of Hyatt account which wasn't done.  I added it after the fact.",Positive,,,,,
Love that I have a Hyatt Regency in Green Bay Wisconsin. Nice place!,Positive,,,,,
I think its terrible that you charge guests to park. It should be free if you stay there,Negative,,,,,
very clean Room staff was very nice,Positive,,,,,
"I love your hotel and stay there whenever I'm in Green Bay. A couple of suggestions is the bathroom doors really need to be updated. They're  really beat up on the inside in all the rooms that I've stayed in so far. Also I was in room 734 and the fan in the bathroom is not working and the bathroom drain is really slow. I was going to tell the staff there when I checked out and I forgot. I want you to know especially about the fan so it doesn't wreck the paint in the bathroom. Overall it's a great place to stay, thank you!",Positive,,,,,
My room was directly in front of the elevator which made it noisy even after closing the door in between the bedroom and the living space.  My profile indicates I like to be away from the elevator; my sheets smelled like cologne (ie they clearly had not been changed since the last guest was in the room) but I didn't discover that until midnight when I was going to bed and it was too late for me to ask for someone to fix the issue. I did let the reception desk know in the morning.,Neutral,,,,,
"I have stayed at this hotel at least several times a year, for the past 4 years and have to admit I was quite disappointed in the service on this visit. First, my room was not ready when I arrived around 4:45pm. I was informed by the desk clerk that a lot of the rooms were not clean. The clerk could not give me a time frame on when my room would be ready, which was quite an i conviene because i was going to the football game that evening. I made sure to have the clerk verify my reservation for a â€œcorner king roomâ€, which she did, however although she looked up and verified my reservation she kept asking me questions about my checking out time the following day. My reservation was for 4 nights!! 
When I finally returned to the hotel after the game at 11pm, I received my key to my room and again asked the clerk (now a young man) if my room was indeed the corner king, to which he responded yes. Now, I always make a point to reserve this room type because the open floor plan is ideal for my impaired vision. Unfortunately the room was incorrect. I was given a one bedroom room and could not even find the light switch as I entered which can prove dangerous because of my impaired vision. I went back to the front desk to  remedy the mistake and was told there was nothing that could be done because they were all filled. Although this was disconcerting, it was the attitude of the female st the counter that was upsetting. There was no concern or regard for the fact they made a mistake and when I asked if I could change my room to the proper room the next day, she showed no compassion or willingness to remedy the situation. Her remark was simply that I could try. 
I did get the room changed the next afternoon, but the new desk clerk (although helpful) did not appear to understand why I wanted to change or how to do it. This was not the only time I felt the staff was not proficient in their job knowledge and performance. From the front desk to the restaurant to the Marketplace, it was as if the hotel was in the midst of training new employees or had interns working. In all my past visits I have never experienced such a lack of knowledge and customer service.
Also, the bathroom in my second room had a distinct musty smell that I had never experienced before.
I thoroughly have enjoyed my stats at this hotel in the past, but if this is the way things are being done now, I may reconsider staying here for my future visits.",Positive,,,,,
"The parking situation is atrocious at this hotel!  For that reason alone I cannot recommend it.  The need to take a ticket and have it validated is a nuisance at best.  However the most aggravating issue was when we arrived back at the hotel at 1:00 a.m., the lot was full with no signs directing us on where to go.  We had to call the front desk form our cell phone and were told to park a block away at a public lot and walk back to the hotel.  What a pain!  Definitely not the Hyatt experience we are used to.  Very disappointing and surprised that this place gets to brand itself as a Hyatt regency.",Negative,,,,,
Hotel staff was great. Wedding staff help was eager to leave as soon as they could.,Positive,,,,,
"Everything was very nice, except the air conditioner made noise like something stuck in it every time it ran/",Positive,,,,,
We loved our stay at the Hyatt Regency as well as our Green Bay experience!  Would definitely come back again!,Positive,,,,,
All the staff was very friendly!,Positive,,,,,
"Our room could have been cleaned better before our stay. Bedding didnâ€™t appear clean, furniture needed better dusting, there was old food and toys under the sofa bed, there was leftover garbage around the room as well. Other than that we really enjoyed the hotel but housekeeping should have gone over the room again before letting someone check in.",Positive,,,,,
Love it there,Positive,,,,,
"Rooms were clean and comfortable, food very good and staff was also very friendly.",Positive,,,,,
"Comments related to my above ratings: 
Check-in: My room was not ready for quite some time because some kind of large group was taking a long time to check out, so I had to change my clothes and do my makeup in the public restroom in order to get ready for my conference that afternoon. This was not an ideal situation. Also, when I checked in, the girl at the desk did NOT tell me that I had to reserve the shuttle days in advance in order to get to the airport when my stay was over. This is an unacceptable oversight.
Tranquility: The doors/windows in the front of the room were so not sound-proof that early every morning, I could hear the clinking of dishes in the restaurant several floors below. 
Check-out: I had a terrible check-out experience. No one had told me that I needed to reserve the shuttle days in advance in order to get a ride to the airport upon check-out. This is a terrible oversight, and I'm very upset about it. Someone should have told me this when I checked in. If they had, I would have called the front desk and made an appointment to make sure I had a ride to the airport. Instead, I had to sit in the lobby for almost two hours to wait for a the shuttle, which was incredibly inconvenient, because the shuttle driver was taking a lengthy break and couldn't be disturbed. Because I was at the mercy of the shuttle driver's break schedule, I ended up having to leave the hotel much later than I'd wanted, which was very stressful and made me nervous I would not arrive at the airport with enough time. I also was upset at how the front desk staff handled the situation. Never once did I feel like they actually cared, and I never got what I considered any kind of sincere apology -- they simply kept repeating the same rehearsed lines over and over again about the shuttle driver taking a break, as if I hadn't heard them the first time. I'd had a fairly pleasant experience with your hotel until this very last day, and now -- because of the way the front desk handled my shuttle situation -- my opinion is very tarnished. This is very disappointing.",Positive,,,,,
"PROS
Manager was very friendly and courteous.
Hotel was nice.
Man at front desk was nice.
Shuttle was convenient and drivers were friendly.

CONS
Late check-in. Also, we received no text message or call when our room was available, so we were out in the lobby for over 2 hours. We finally got our room around 6:45 - 7pm. We didn't have time to shower before our evening meetings.
Woman checking us in/checking us out told us the wrong time for the shuttle to the airport and told us that we could not request a different time. Later, when we discovered someone else had requested a different time she acted like she hadn't made the mistake. I wish that she'd just admitted she made the mistake and apologized instead of accusing two people of hearing her wrong and not explaining the rules.",Positive,,,,,
"Check-in was an issue as an entire conference preceding us was checking out late. We only got a couple days notice about this, kind of late to change flight plans. I got there at 10am, figured I might have to wait an hour or two. Didn't check in until 3pm.",Neutral,,,,,
As an explorist Member I was supposed to get 2 bottles of water each day.  Only got one day.  Housekeeping didnt replenish.,Positive,,,,,
"I stayed four nights at your hotel for a conference. It was obvious that the hotel was an older building, but everything was very well maintained and anything I asked for, I received very quickly, so thank you. 

However, that being said, I have a couple of issues. 
1) When you offer a conference room rate for a stated price, it is unfair to raise that rate for that block of rooms because of some event that is occurring elsewhere in town. I was offered a rate of $149, which was a great rate, but then on Thursday night I had to pay $229 because of the football game, which I was not interested in, nor could I have attended, even if I wanted to, because of the conference activities. I was very irritated at having to pay more for Thursday night when it was intuitively obvious that I was NOT there for that game or any other event, except for my conference. So next time I come for a conference, maybe I will stay next door at the Hampton Inn.

2) You REALLY need to upgrade your elevators. They run slower than molasses in January. I cannot express how frustrated I got several times waiting for an elevator. And you may think I could just use the stairs, but that is not so. I have arthritis in both knees and was on the 6th floor. This is a big issue for me and something that makes it less likely that I will stay at your hotel next time.",Positive,,,,,
"The air in our room (207) did not work well. We were too warm, even after adjusting the thermostat. And the room needed more electrical outlets.",Positive,,,,,
hotel needs to be renovated.,Neutral,,,,,
"this was an older facility, I get it. The bar/restaurant staff was inequity and the wait times for food off the chart. We waited 40 minutes before drinks on more than one occasion. Food even longer and half the tables came out a further 20 minutes later. There were no more than three
 other tables seated.",Positive,,,,,
It was great having a member (Discoverist) check in line. Awesome perk makes you feel very valued. Check in was just minutes! :),Positive,,,,,
"My room was not cleaned, items were not resupplied, and my key kept failing, which meant I had to take a very slow elevator down 7 floors to get help, several times.",Negative,,,,,
"The toilet in room 209 is loose, so that should be fixed, but besides that, a very nice room.  I attended a conference and we were provided a private buffet breakfast each morning.  Unfortunately, it was cold each morning.  Overall, a satisfying stay.",Positive,,,,,
"There was a long wait to check in, after the check-in time.",Negative,,,,,
"Overall the hotel is dated but has comfortable beds and is in good shape for its age. It needs a remodel. My problems are with staff, specifically, the Pub and Housekeeping. The pub served all the members of my party except me and kept me waiting for an hour with no food. I had to leave for a meeting and got no dinner than night. They never informed me that there was a problem with my meal or asked me if I wanted to order anything else. And there was no one to ask for help. They finally said they couldn't find any turkey for my turkey sandwich. This is really awful service. Housekeeping also did a bad job. I paid for late checkout. I wanted to catch a nap before my flight. But Housekeeping ignored my Privacy sign and knocked on my door and tried to open it - TWICE!! Needless to say, I got no sleep. I have never had housekeeping do that at any hotel I have ever stayed at. Fortunately the front desk provided good service and refunded me the fee for my late check out.",Positive,,,,,
"Staff friendly and professional. Tried to make us comfortable when check in was delayed. I do wish more of an effort had been made to have shuttles available when conference attendees were arriving or the manner and time we should have requested shuttle service had been more clearly and consistently communicated. Otherwise, great service and room.",Positive,,,,,
"I was welcomed by Colton who provided great customer service. The rooms are clean but dated and dark (popcorn ceilings, small light in center of room and a 80's feel. Could tell bathroom had received some updating. My bad had been lost and I had told the front desk. I'd also told the driver my room. Yet, I never received a call to my room or a text on my phone that my bag was in the lobby that evening. When  I went down to inquire about it they immediately knew my name so they could have let me know (basic customer service) or even brought it to my room (great customer service). My room had a connecting door and a family stayed the night. Unless the hotel was completely booked out, it would have been better to put people that didn't have to get up at 6 am next to those who do. The breakfast buffet could also use some help. There was fruit but no yogurt or granola/cereal. Even a make-your-own waffle center or other self-service items (like various breads and bagels and a toaster) would be appreciated. The pastries were heavy and not good at all (supermarket type).  Finally, there was a stain on the wall in my room. I'm hoping it was a different paint versus mold as I have arrived home and am not feeling well. Something to check. Also, shuttle service needs a bit of organization. I think some training and some updates will make this a much better and appealing place for attendees.",Positive,,,,,
"The hotel is sadly in dilapidated state, appears to not have been updated in at least a decade, including elevators that must be 30 years old. Had to wait hours to check in even though the hotel had notice of our writers' conference. The worst part of the entire stay was the food. It was horrible. The meals were subpar, tasteless, overpriced and simply awful. I had to ask that items be removed from my bill, like the hummus, because it was inedible. After checking out and returning home, I realized I had left some items in my room and called the hotel to see if they had been found. The woman at the front desk was rude and couldn't have cared less. She promised to call me back and never did. This is completely antithetical to the excellent treatment I have always had at Hyatt hotels. I will never go back to the Green Bay Hyatt.",Negative,,,,,
"Refrigerated cooler had a loud annoying buzzing whine that kicked on periodically, especially noticeable in late evening when sitting in the sitting room. At least I was able to close the sound off with the bedroom door so it didn't keep me awake. I mentioned it when I checked out.",Negative,,,,,
Very nice room. Staff handled delay in check in well.,Positive,,,,,
"The first day I was there I called maintenance about a clogged drain in my bathroom sink. It was never fixed. Also, the hotel advertises that they have a shuttle service to and from the airport. The shuttle service was very limited.",Negative,,,,,
Room was dusty. The staff members who were on duty tried but the hotel was clearly understaffed to deal with the volume of conference check ins. The room was very dusty.,Negative,,,,,
"Overall, the stay was excellent. However, the restaurant is awful. It is understaffed and, even when there are no customers, it takes an minimum of ONE HOUR to get a simple sandwich...no matter what day it is or time of day. It's always ONE HOUR or more. It took 30 mins for one member of our table of four to get a Diet Coke. I guess they had to mix it from scratch in beakers. The service staff never apologizes, either, for the outrageously long wait times for food. Shameful. That said, the food in the little store by the front desk is surprisingly good -- I loved the cookies! The elevators are extremely slow as well.",Negative,,,,,
"We had a banquet and no one cleared the dirty dishes away, ever. It was weird, gross, and crowded, especially since the dessert was on the table before we came in, including cheesecake. Who wants to eat cheesecake that's been sitting out, sweating for more than an hour? Yuck. Little hot blobs of whipped cream. Then that night, I got a salad in the market with a packet of blue cheese dressing and the dressing was rancid. I called to let someone know, but I can't help but wonder... did anyone throw out the rest of that dressing? I was offered a new salad (which I didn't take), but still I wonder. The room was nice and clean, everything else was good. Really underwhelmed on the food front. Also, I wasn't going to check out at all (I usually don't at hotels) when I heard someone I know arguing about being charged for breakfast when he shouldn't have been, so I decided to make sure I hadn't been, as well. I wasn't, but there was $111 charge on my bill for a dinner I didn't eat at the 333 Pub!!! The woman at the desk took it off, but her reaction made me think it happens regularly. SO not okay.",Positive,,,,,
"Overall - Excellent.  A slight delay at check-in secondary to the NFL Tennessee Titans staying late and rooms not quite ready. Overall, it did not affect my stay and the staff apologized profusely.",Positive,,,,,
Some snafus checking in. The food is good but service leaves something to be desired.,Positive,,,,,
"We arrived after 11:30 pm, and the desk clerk was very nice and helpful.  My daughter had forgotten to bring her toothbrush, and he had one sent up to our room within a few minutes!  Thank you!",Positive,,,,,
Check in was at 3pm and room wasn't ready until 430pm. The staff was great with dealing with the delay in rooms and gave us a free breakfast.  It was still disappointing that there was such a long wait for our room. I feel like they could have discounted there rooms and offered the breakfast without asking for anything. The rooms were already marked very high because of a game so if think they could have afforded to take some money off the rooms.,Positive,,,,,
"Inwas surprised how unprepared the hotel was for the packers game. Too many guests, including my family, were not able to check in until just before the game started! I expected this Hyatt to be prepared like others Iâ€™ve stayed with in the past for large events.",Positive,,,,,
The staff is very professional in all areas.,Positive,,,,,
The air conditioning in room 332 was very poor.  I called to have it looked at after a very humid hot night of sweating.  Next night were a bit less humid but it was still uncomfortable.  Upon checking I was in a studio and I wanted a suite.  I had to go back down to check in and fix it.,Negative,,,,,
The hotel and food service is very nice. The hotel appears to have been recently remodeled and is in a very good location. The staff is very nice and helpful as well.,Positive,,,,,
Staff very nice.  Dawn did a great job cleaning room (814).  Elevator(s) are extremely slow as always - one was out of service for a bit first day.  Drink prices in bar were to the point we left and went other venues that were cheaper (and I am from metro Milwaukee).  I do like the staff and hotel but I think a review of what I pointed out is needed as I heard the same observations from almost everyone I came in contact with,Positive,,,,,
"Overall the stay was pleasant and I enjoyed the stay.  I arrived and checked in about 10:30pm on a Sunday night. Thorough my three night stay, It was necessary for me to park off site and use the pay for parking city lot across the street. That was an expense I wasn't expecting, but it is what it is and I realize parking is limited.  Breakfast was great and handled nicely. As for a dinner, I was disappointed. While staying at the Hyatt  always order a late evening Salmon meal. and take it back to my room. During this stay, I ordered it only once. I found it was nothing like past years. The size was very portion and it was not a good experience.   I used the extra blanket and later noticed it was most likely pre-used. There was some red lipstick on it and appeared to have some blackish eye shadow on it. Similar to a former patron using it to wipe off there makeup or something to that affect. In general the room looked very clean, however, once taking a shower, I observed two long dark hairs stuck on the interior wall of the bath/shower wall",Positive,,,,,
"Room 207, corner of bathroom wall noticeably and unattractively stained. A little maintenance TLC could fix this.",Neutral,,,,,
When I checked in I shared that the parking lot was full. I was told that I could use the parking ramp across the street for a charge. My room was loud with the street noise and elevator noise and vibration (FYI---I stay in hotels a lot and NEVER have complained about noise in the past). I asked for a noon checkout and was told I could not extend by an hour. Overall a poor experience with a staff that was unaccommodating. The employees in the courtyard restaurant were nice.,Positive,,,,,
"Charged sales tax when I was exempt, but that is an easy fix.",Positive,,,,,
I had a salad from your snack shop and it was incredible (fresh and tasty).  Thank you for having that as a quick stop option within the hotel.,Positive,,,,,
The overall stay was great.  The only problem was that the fridge in our room did not stay closed.,Negative,,,,,
Check in and check out employees were not genuinely welcoming and sweet. The food employees were wonderful and took care of their space and guests very well.,Positive,,,,,
My wife and I separately requested to talk with the manager on duty several times and were told each time that they were not available.  I asked to be called on my phone as soon as the manager was available (which was to be in 1.5 hours but never received the call.  Found that staff was unable to make decisions by themselves.,Positive,,,,,
"All of your staff were very pleasant.  They always had a smile and greeted me and interacted with me.  The breakfast buffet was great and the service excellent.  Check in and out was very easy, as it always is.  The bartenders were very nice and service was excellent.  Overall, every stay at this locations has been excellent.",Positive,,,,,
I enjoyed my stay at the hotel.  The front desk staff and cleaning service were great.  I look forward to returning to the hotel in the near future.  Keep up the great work!,Positive,,,,,
"Staff, facilities, food and service are all excellent.  THE ELEVATORS ARE PAINFULLY SLOW.",Positive,,,,,
"Forgot to leave shampoo, conditioner, lotion and bath mat/towel",Positive,,,,,
Beautiful and comfortable hotel room. Your people are well trained and sincerely friendly. Thank you!,Positive,,,,,
Needs some updating.,Neutral,,,,,
a very warm and wonderful experience from beginning to end.,Positive,,,,,
"The toilet in the room wasn't bolted down properly so it crashed down every time you sat down. The room was really old and out dated in comparison to the rooms with the doubles. I was there on business and had several nights with people screaming and yelling in the halls, banging on the doors next to me, etc. Staff didn't bother taking into consideration the rest of the guests and let it continue from a wedding long past 2am. Absolutely ridiculous.",Negative,,,,,
the bathroom showers need handicap bars,Negative,,,,,
"AT FINAL DINNER AT HYATT ON SAT AUG  4, THE MEAT WAS TERRIBLE. IT WAS SO TOUGH I COULD NOT CUT WITH A FORK. I THEN SWITCHED TO THE PASTA STATION AND GO A GOOD .RESULT, BUT IT APPEARED THAT MOVE OF THE STAFF WAS TOTALLY UNTRAINED",Negative,,,,,
Nice suites.  Will book here again.,Positive,,,,,
"Lindsay is very accommodating helping me with my room stays.  My schedule changes frequently and never a problem Lindsay helping me out.  
Becky and her cleaning team doing a great job with my room stay and needs.
Becki, Jenna, Scott, Stacey, thanks for the great service at pub 33. They always serve with a smile and are always very polite.
Thanks again and always enjoy my stay with the Hyatt Green Bay.",Positive,,,,,
The young ladies in Starbucks weâ€™re so kind and made great drinks. The manager on the other hand was verbally abusive.,Positive,,,,,
The staff was attentive and very helpful. The room was clean and suited our needs. The air conditioning could have worked better . The food was very good.,Positive,,,,,
"Only complaint would be about the SLOW
elevators",Negative,,,,,
"The only feedback that I have regards the shuttle. Some staff members were knowledgeable regarding the schedule while others weren't. I called prior to reserve a shuttle from the airport and the representative indicated that there wasn't a shuttle at that time however 3 members on the same plane with me were able to reserve transportation. Luckily I was able to ride with them to the Hotel but there was miscommunication. The same thing happened when scheduling a time to leave the hotel when I checked out. 

My overall stay was great and the hotel is beautiful! Thank you for all that you do!",Positive,,,,,
Great job! I had a really nice experience during my stay.,Positive,,,,,
Iâ€™ve stayed several times over several years. Front desk never says welcome back. Online check-in didnâ€™t streamline process. Elevators are slow. Acoustics are noisy. Wi-Fi is not explained and no perks for Hyatt members. Omolete station is slow.,Negative,,,,,
We were scheduled to check in 8/3 I called and said we would be arriving very late probably 2 am bc we were exploring Chicago. Arrived with two young kids at 2:17 we were told that you didnâ€™t have a room for us. Sent us to a water park where the bed sheets were wet as well as the floor. Staff was very apologetic however as of 1pm today we still have not been refunded for our two night stay and I have emails stating that the refund was processed. The manger greeted us and offers us some water or a drink sentbuo a cheese plate. The gates to leave were not operable while we were there. Just a perfect storm of not great things. Our room didnâ€™t appear to be what I had paid for online either. Assumed we might be offered s few noghtbor two stay for future use or a food credit or something. Was pretty disappointed.,Positive,,,,,
"The woman at check-in was unfriendly and unhelpful.  Her demeanor was rude and unwelcoming and she seemed irritated by her job.  The condition of the hotel was worn and tired.  Overall, the experience was poor and it is unlikely that I will visit this hotel for our future visits to Green Bay.",Negative,,,,,
The elevators were very slow.  Otherwise everything was outstanding.,Positive,,,,,
Appreciated staff making an early check in possible so we could do a 30 mile bike ride.,Positive,,,,,
"Staff was awesome. Got me to a vegetarian restaurant (dry, thanks to the umbrella they gave me), and were delightful from check in to check out.",Positive,,,,,
The whole was very friendly. I visited with Tracy in the lobby and we had a great conversation. She is a real people person.,Positive,,,,,
From some unknown reason the person that cleaned my room did not like leaving face cloths. It was probably because she forgot..,Positive,,,,,
Excellent staff both at check in and for breakfast every morning,Positive,,,,,
"The maintenance came into my room while I was getting ready, he let himself into my bathroom because the toilet may have been leaking into the hot tub. The workers snide comments made my guests and I feel very uncomfortable. When I brought the issue to the front desk they were less than helpful.",Negative,,,,,
"billing errors, failure to follow through on commitments to fix the problems, the breakfast food was great, service was a joke, couldn't get a refill on my coffee, got a handwritten receipt because the credit card machine was down, then billing errors on the room and 7 hours later got a corrected bill.",Positive,,,,,
"Un soir nous avons trouvÃ© la chambre pas nettoyÃ©e  et le lit pas refait ; un membre du FO a envoyÃ© un agent de la blanchisserie... Le matin suivant un autre membre du FO nous a dit que le housekeeping Ã©tait fait si les agents ""avaient le temps"" ! Il est dÃ©sagrÃ©able d'avoir Ã  systÃ©matiquement demander le renouvellement de produits comme le gel douche. Un des agents de la rÃ©ception est particuliÃ¨rement dÃ©sagrÃ©able.",Negative,,,,,
"We stay at Hyattâ€™s all over the US and are Hyatt Residence Club Owners. The Hyatt Regency GB is unlike any Hyatt Regency I have stayed in. It was obvious when we walked in that it used to be an Embassy Suites, so not a typical Hyatt experience. For instance, the bathroom was very small and not what I expect from a Hyatt. Overall it is comparable to a Hampton Inn or similar hotel, but not what I expect from a Hyatt Regency.",Positive,,,,,
A/C a bit loud. Staff was very friendly.,Positive,,,,,
This hotel is very dated which makes it seems not so clean. Also no one can seem to explain the rewards program and when we are eligible for any rewards.,Positive,,,,,
"Parking is an issue, with a wedding reception going on there is not enough parking for guests who are actually staying at the hotel. People attending events that are not staying at the hotel should be required to park offsite not paying guests.",Positive,,,,,
There was a $25 +tax charge on my bill which was not explained to my satisfaction.,Negative,,,,,
Staff was exceptional especially Matthew!!  Service was wonderful throughout our two day stay.  Just a few suggestions.......having a complimentary Continentinal breakfast and a newspaper would be nice.  And PLEASE consider installing grab bars in the shower/tub area.  A real safety factor for your senior guests.,Positive,,,,,
breakfast buffet should be included in room cost,Positive,,,,,
"We did not receive housekeeping service on the second day of our stay.  Our room felt kind of ""stuffy"".  I'm not sure the air conditioner was working like it should have.  I love the rennovations that were done to the hotel.  However, I found it interesting that the bathroom door and vanity were the same as when the hotel was built in the 1980's.  Overall, we were satisfied -- just a few little glitches.",Positive,,,,,
"After a day of traveling, upon checking in, the guy at the front desk repeatedly tried to pre-sell me breakfast for 3 days - for 4 people. The breakfast was terrible so Iâ€™m really glad I didnâ€™t fall for that. 
I stay at Hyatt properties and others for business travel all the time. I expect the same professional treatment when traveling with my family and I certainly did not get that.",Positive,,,,,
The hotel reminded me of a Holiday inn from the early 70s at a premium price.,Positive,,,,,
Horrible noise until 1:30 AM. Security did nothing about it.,Negative,,,,,
The late night parking aituation was an unpleasant surprise. Your attendent made it worse by leading me to believe it was blocks away.  While its across the street i was traveling with small sleepy kids and had i not had a guaranteed reservation I would have left.   Parking continued to be messy as i had to pay $1 to leave (first 30 mins free and we left at 23 mins (i set a timer).  Parking is the reason you wont get repeat business from me.,Negative,,,,,
"This hotel is nice but needs some TLC.  For example our bathroom door had bad scratches on the inside...probably from a pet.  I am sure the hotel got a pet deposit that they kept for the damage but never replaced the door.  They also have ""Coolers"" instead of small refrigerators.  Who puts Coolers in a hotel room.  Ours must of had a small leak because the carpet was damp.   A little TLC is needed",Negative,,,,,
"I was so impressed with our experience.  We stayed for my daughter's birthday and had so much fun.  My daughter told a few of the people around the hotel that it was her birthday and that she was turning 4.  We came back to our room to find cookies and milk with a birthday card signed by the staff.  It was the sweetest thing and made her so happy.  The room was great and the beds were comfy.  The pool area is also really fun.  The only thing that I was a bit disappointed about was our meal at the restaurant.  I ordered the hummus that was supposed to come with carrots, cucumbers and pita chips but they only gave me pita chips.  Other than that our experience was truly amazing!!!!",Positive,,,,,
"The breakfast buffet was amazing!  My only complaint was the ham & cheese sandwich special you offered on Friday night.  The one & only paper thin piece of ham measured about 1"" x 2"" and didn't cover the bottom bun - the cheese was even less. Likely not the only sandwich like that, when I pulled from the warming case, several others felt like there was nothing in them (very light).  So bad I wouldn't even consider trying your pulled pork special.  Now unfortunately there are food trucks you need to compete with - keep that in mind next year.",Positive,,,,,
Room not ready at 3:00. A/C unit very loud. Breakfast 5-10 minutes late to open. Good gym.,Positive,,,,,
5:30 pm was when my clients got into their rooms. You knew it would happen and did nothing to prevent it. Poor room management of your convention.,Positive,,,,,
I hate being surveyed and emailed!,Negative,,,,,
Kolton at the front desk was very helpful since my room was initially not clean and ready for occupancy.  But everything was made well.,Positive,,,,,
"I sent an email this morning (7/26) regarding the differences in charges on the 2 rooms we used this past weekend.  I was dismayed about the fact that the checkout person was to have removed the two people from one of the rooms (pre-registered for 4 but only 2 were able to show up); however, she did not do that.  Subsequently, we were charged for 4 people not 2.  When my daughter got her bill, she did not realize this, so it was not addressed upon her checkout.  We are hoping to get a refund (all explained in the email I sent).",Positive,,,,,
More diverse choices for food at dining venues at Kitsune Kon would be wonderful!,Positive,,,,,
"Requested King-sized bed but not available. Unable to locate Hyatt World Accra despite giving associate the number. Gym not stocked with towels, headphones, etc. Impressive workout facility. Staff responsive when informed gym supplies were out.",Positive,,,,,
"I checked in around 10pm after long flights and no dinner and was exhausted. I was given a room that had not been cleaned. Beds were not made, garbage in the garbage cans. When packing up and going back downstairs with all my belongings, I was told about a wonderful breakfast in the morning that I thought was going to be complimentary for my troubles...however it was not.",Positive,,,,,
Not like any Hyattâ€™s Iâ€™ve been to before.  Very disappointed.  May consider staying in other line of hotels,Negative,,,,,
"There were many kind staff members who helped make our stay comfortable, simple, and relaxing! They did a wonderful job!",Positive,,,,,
Extra rack to hang drying towels,Positive,,,,,
"It was good. There didn't seem to be multiple wash cloths, though.",Positive,,,,,
